Number;Time;Temperature;Change
1;1611426600;20.1;0
2;1611428400;20;0
3;1611430200;19.9;0
4;1611432000;19.8;0
5;1611433800;19.8;0
6;1611435600;19.9;0
7;1611437400;19.9;0
8;1611439200;19.8;0
9;1611441000;19.9;0
10;1611442800;19.9;0
11;1611444600;19.9;0
12;1611446400;19.9;0
13;1611448200;19.9;0
14;1611450000;19.9;0
15;1611451800;19.9;0
16;1611453600;19.9;0
17;1611455400;20;0
18;1611457200;20;0
19;1611459000;20;0
20;1611460800;20.1;0
21;1611464400;20.1;0
22;1611466200;20;0
23;1611468000;20.1;0
24;1611469800;20.1;0
25;1611471600;20.1;0
26;1611473400;20.1;0
27;1611475200;20.1;0
28;1611477000;20.1;0
29;1611478800;20.1;0
30;1611480600;20.1;0
31;1611482400;20.1;0
32;1611484200;20.1;0
33;1611486000;19.8;0
34;1611487800;19.8;0
35;1611489600;20.4;0
36;1611491400;20.9;1
37;1611493200;21.6;1
38;1611509400;19.6;-1
39;1611511200;19.6;0
40;1611514800;23.3;1
41;1611516600;23.4;0
42;1611520200;21.1;-1
43;1611525600;6.8;-1
44;1611527400;3.7;-1
45;1611529200;3.3;-1
46;1611531000;3.3;0
47;1611532800;3.3;0
48;1611534600;3.2;0
49;1611536400;3.1;0
50;1611538200;3;0
51;1611540000;2.9;0
52;1611541800;2.9;0
53;1611543600;2.7;0
54;1611545400;2.7;0
55;1611547200;2.7;0
56;1611550800;2.4;-1
57;1611552600;2.2;0
58;1611554400;2.4;0
59;1611556200;2.5;0
60;1611558000;2.7;1
61;1611559800;2.8;0
62;1611561600;3;0
63;1611563400;2.8;0
64;1611567000;4.5;1
65;1611568800;4.4;0
66;1611574200;10.3;1
67;1611576000;6.6;-1
68;1611577800;5.5;-1
69;1611579600;5.6;0
70;1611581400;5.3;-1
71;1611583200;5.1;0
72;1611585000;5;0
73;1611586800;5;0
74;1611588600;5;0
75;1611590400;4.6;0
76;1611592200;3.8;-1
77;1611594000;3.4;-1
78;1611595800;3.4;0
79;1611597600;3.7;1
80;1611599400;3.8;0
81;1611601200;3.9;0
82;1611603000;4;0
83;1611604800;4.3;0
84;1611606600;4.6;1
85;1611608400;4.8;0
86;1611610200;5;0
87;1611612000;4.9;0
88;1611613800;5;0
89;1611615600;5.2;0
90;1611617400;5.2;0
91;1611619200;5.5;1
92;1611621000;5.5;0
93;1611622800;5.4;-1
94;1611624600;5.2;0
95;1611626400;5.1;0
96;1611628200;5.2;0
97;1611630000;5.3;0
98;1611631800;5.2;0
99;1611633600;5.1;0
100;1611635400;5.2;0
101;1611637200;4.9;0
102;1611639000;4.8;0
103;1611640800;4.8;0
104;1611642600;4.8;0
105;1611644400;4.7;0
106;1611646200;4.8;0
107;1611648000;5.1;0
108;1611649800;4.8;0
109;1611651600;5.1;0
110;1611653400;5.7;1
111;1611655200;6;0
112;1611657000;6.6;1
113;1611658800;7.1;0
114;1611660600;6.7;0
115;1611662400;7;0
116;1611664200;7.9;1
117;1611666000;8.1;0
118;1611667800;8.2;0
119;1611669600;8.5;0
120;1611671400;7.7;0
121;1611673200;8;0
122;1611675000;8.1;0
123;1611676800;6.8;-1
124;1611678600;6.1;-1
125;1611680400;5.7;0
